"행사명",장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,연락처,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,경도(WGS84좌표),위도(WGS84좌표),데이터기준일자
"박은경 피아노 독주회",금호아트홀 연세,음악,2016-12-04,2016-12-04,1930-2100,유료,"선화예고 동문회,서울대학교 음악대학 동문회","선화예고 동문회,서울대학교 음악대학 동문회",,"선화예고,서울대학교",350,전석 20000원,7,"학생,국가유공자 50프로",,yskh.yonsei.ac.kr,,Y,서울특별시 서대문구 연세로 50 연세대학교 백양누리 B1 금호아트홀,,,,2016-12-01
2016 쏠리스트앙상블 송년음악회 (평창 동계올림픽 성공을 기원하는 원로성악가와 함께하는 송년음악회),남부순환로 2406 예술의전당 콘서트홀,음악,2016-12-06,2016-12-28,2000-2200,유료,한국문화예술위원회,예술의 전당 콘서트홀,,,2600,,,,,http://www.solistensemble.com,,Y,서울특별시 서초구 남부순환로 2406,,,,2016-12-01
"극단번작이 84회 정기공연",김해시 분성로 259. 4층 가인소극장,연극,2016-12-06,2016-12-17,1700-2200,유료,경남문화예술진흥원,극단번작이,,,80,,,,,http://indrama.net,,Y,경상남도 김해시 분성로 259,,,,2016-12-01
2016 하나21세기 현대음악연구회 정기연주회 - 현대음악의 밤,우봉아트홀,음악,2016-12-06,2016-12-06,1930-2100,무료,대구문화재단,대구문화재단,,,200,,,,,,,,대구광역시 남구 효성로 37,,,,2016-12-01
"우리문화연구회 29주년 정기공연",거창문화원 상살미홀,전통예술,2016-12-06,2016-12-06,1930-2100,무료,경남문화예술진흥원,우리문화연구회,,,300,,,,,,,Y,경상남도 거창군 거창읍 수남로 2193-40,,,,2016-12-01
"역사 속 이야기",강원대학교 백령아트센터,무용,2016-12-06,2016-12-06,1900-1900,무료,강원문화재단,김경회무용단,,,1000,,,,,http://,,Y,강원도 춘천시 효자동 192-1,,,,2016-12-01
"문화시민과 함께하는 시낭송 및 시극",광주콘텐츠지원센터(구 광주영상센터/사직공원 내),문학,2016-12-06,2016-12-06,1900-2000,무료,광주문화재단,광주시낭송가협회,,,,,,,,http://cafe.daum.net/gwsinangsong,,,광주광역시 남구 사직길 17,,,,2016-12-01
"제3회 E.S 밴드 정기연주회",꿈꾸는씨어터,전통예술,2016-12-06,2016-12-06,1930-2030,유료,E.S밴드,ES. 밴드,,"(사)대구국악협회, BOK, 설탕작업실,지율국악원, 한국전통국악기사",120,"10,000원(학생5,000원)",8,,,,,Y,대구광역시 남구 현충로 148,,,,2016-12-01
"오색 풍류를 즐겨라",봉화군청소년상담복지센터(내성로 1길 17-20),전통예술,2016-12-06,2016-12-06,1900-2100,무료,경상북도,(사)한국국악협회봉화군지부,,,300,,,,,http://,,Y,경상북도 봉화군 봉화읍 내성로1길 17-20,,,,2016-12-01
"깨비전",증평군 문화회관,전통예술,2016-12-06,2016-12-06,1000-1430,무료,"선화예고 동문회,서울대학교 음악대학 동문회","선화예고 동문회,서울대학교 음악대학 동문회",,,400,,,,단체예약 무료관람,,,Y,충청북도 증평군 증평읍 삼보로 28,,,,2016-12-01
"대취타정기공연 및 국악 공연",홍성 문화원,전통예술,2016-12-06,2016-12-06,1900-2030,무료,홍성 국악협회,홍성 국악협회,,,,,,,,,,,충청남도 홍성군 홍성읍 충절로951번길 16,,,,2016-12-01
13월. 그들의 파티 - 거미줄에 걸린 꽃잎,춘천문화예술회관,무용,2016-12-07,2016-12-07,1930-2030,유료,한국문화예술회관연합회,"한국문화예술위원회, 춘천시문화재단",,"기획재정부 복권위원회, 문화체육관광부",,,,,,www.cccf.or.kr,,,강원도 춘천시 효자상길5번길 13,,,,2016-12-01
"조보연의 가야금 드라마 ?3 -산조",국립무형유산원 얼쑤마루 소공연장,전통예술,2016-12-07,2016-12-07,1930-2050,무료,전라북도문화관광재단,전라북도문화관광재단,,,180,,8,,,,,Y,전라북도 전주시 완산구 서학로 95,,,,2016-12-01
"시티 비트 VOL.3",제주 시청 인근에 소재한 2곳의 공연장과 클럽에서 동시에 진행하는 콘서트를 2일간 운영,음악,2016-12-07,2016-12-08,1830-2300,유료,제주문화예술재단,주식회사 겟컴퍼니,,,400,,,,,http://www.getcompany.kr,,,제주특별자치도 제주시 광양9길 10,,,,2016-12-01
"무관舞館",남망공원길 29 통영시민문화회관,전통예술,2016-12-07,2016-12-07,1900-2030,무료,"한국문화예술회관연합회, (재)통영국제음악재단","한국문화예술위원회, 통영시",,,,,,,,http://www.timf.org,,,경상남도 통영시 남망공원길 29,,,,2016-12-01
"제19회 터를일구는사람들 정기공연",영월읍 사회복지회관1층 공연장,전통예술,2016-12-07,2016-12-07,1700-1830,무료,터를일구는사람들,터를일구는사람들,,강원문화재단,200,,,,,,,Y,강원도 영월군 영월읍 하송안길 89,,,,2016-12-01
"2016 아시아전통무용단 한국춤 시리즈_ 아라가야를 꿈꾸다(제천,소도)",국립부산국악원 연악당(대극장),무용,2016-12-07,2016-12-07,1930-2040,유료,아시아전통무용단,아시아전통무용단,,"한국문화예술위원회, 부산광역시, 부산문화재단, 아시아춤문화연구소, 영남춤",686,"R:50,000 / S:30,000 / A:10,000",4,인터파크 예매시 30프로 할인,,http://kms.asiadance.or.kr/,,Y,경상남도 진주시 진주대로 501,,,,2016-12-01
New Music Concert 김설향 V,강원대학교 예강홀,음악,2016-12-07,2016-12-07,1900-2100,무료,강원문화재단,김설향,,"강원문화재단, University of Exeter동문회, 강원대학교 음",200,,,,,,,Y,강원도 춘천시 효자동 192-1,,,,2016-12-01
"동초제 춘향가 무형의 나래를 펴다",대전무형문화재 전수회관,전통예술,2016-12-07,2016-12-07,1500-1700,무료,대전문화재단,동초제판소리 고향임예술단,,대전문화재단,200,,,,,thflgid/daum.cafe,,Y,대전광역시 대덕구 동춘당로94번길 50,,,,2016-12-01
"아리랑예술단 정기공연 '춤이 있는 풍경 2016'",3.15아트센터 소극장,무용,2016-12-07,2016-12-07,1930-2100,유료,경남문화예술진흥원,아리랑예술단,,"경남문화예술진흥원, 창원민예총",500,"10,000원",14,,,http://cafe.daum.net/trart66,,Y,경상남도 창원시 마산회원구 삼호로 135,,,,2016-12-01
"오즈에서 굴러온 휠, 곰과 함께 노래하다",연습실휠링공간&CY씨어터 다리(홍대),연극,2016-12-07,2016-12-11,1500-2130,유료,한국문화예술위원회,장애인문화예술극회휠,,"문화체육관광부, 한국문화예술위원회, 중증장애인독립생활연대, 은민 S&D",180,"20,000",7,"아동,청소년 1만원 / 장애인(동반1인) 1만원 / 예술인 5천원/인터파크, 옥션 20프로",,http://www.wheelcpad.or.kr,인터파크(ticket.interpark.com)/옥션(ticket1.auction.co.kr),N,서울특별시 서대문구 이화여대1길 46,,,,2016-12-01
"포항음악사랑 제 16회 정기 연주회",중앙아트홀,음악,2016-12-06,2016-12-06,1930-2100,무료,경상북도,포항음악사랑,,,,,,,,,,,경상북도 포항시 북구 서동로 83,,,,2016-12-01
"하녀빠뺑자매",게릴라극장,연극,2016-12-07,2016-12-18,0000-2400,유료,서울문화재단,극단 사니너머,,,,,,,,https://www.facebook.com/sanineomeo,,,서울특별시 종로구 혜화로6길 9,,,,2016-12-01
2016 강성국의 신작 공연,성북마을극장,무용,2016-12-07,2016-12-08,2000-2100,유료,서울문화재단,온몸컴퍼니,,,80,,,,,www.facebook.com/koreaingan,,,서울특별시 성북구 동소문로20다길 10 4층,,,,2016-12-01
2016 원로예술인 공연지원사업,일산 아람누리 새라새극장,연극,2016-12-07,2016-12-08,1600-2130,유료,한국문화예술위원회,old & wise theater,,,300,10.000원,15,,,http://,,Y,경기도 고양시 일산동구 중앙로 1286 고양아람누리,,,,2016-12-01
"사계(四季)",마포아트센터 대극장,무용,2016-12-07,2016-12-07,2000-2100,유료,서울문화재단,윤명화무용단,,,,,,,,http://cafe.naver.com/yunkd,,,서울특별시 마포구 대흥로20길 28,,,,2016-12-01
"백중사 이야기",안동문화예술의전당 웅부홀,연극,2016-12-08,2016-12-08,1930-2130,유료,한국문화예술회관연합회,"한국문화예술위원회, 안동문화예술의전당",,"기획재정부 복권위원회, 문화체육관광부",994,,,,,http://www.andongart.go.kr,,Y,경상북도 안동시 축제장길 66,,,,2016-12-01
"춘천레이디스싱어즈 정기연주회",일송아트홀,음악,2016-12-08,2016-12-08,1900-2100,무료,강원문화재단,춘천레이디스싱어즈,,,,,,,,http;//,,Y,강원도 춘천시 한림대학길 1,,,,2016-12-01
"아나키스트 단재",충청북도 청주시 서원구 1순환로 854 에덴아트홀,연극,2016-12-08,2016-12-08,1000-1930,무료,"팀키아프, 아템파우제앙상블",극단청년극장,,충북문화재단,1006,,14,,,,,Y,충청북도 청주시 서원구 1순환로 854,,,,2016-12-01
1순위_평양예술단과 함께하는 우리 아리랑,완도문화예술의전당,다원예술,2016-12-08,2016-12-08,1730-1930,무료,한국문화예술회관연합회,한국문화예술회관연합회,,,498,무료,,,,,,Y,전라남도 완도군 완도읍 개포로159번길 55,,,,2016-12-01
"어르신을 위한 무용축제",목포노인복지관,무용,2016-12-08,2016-12-13,1400-1520,무료,전라남도문화관광재단,다움무용단,,"이수무용단,목포무용협회,목포음악협회",400,0,60,,,,,Y,전라남도 목포시 노송길 35,,,,2016-12-01
3순위_헨델의 메시아,금정문화회관 대공연장,음악,2016-12-08,2016-12-08,1930-2200,유료,한국문화예술회관연합회,금정문화회관,,,868,,,,,http://art.geumjeong.go.kr,,Y,부산광역시 금정구 체육공원로 7,,,,2016-12-01
2순위_코리안심포니오케스트라(코리안심포니오케스트라와 만나는 오페라 발레음악),보성군문화예술회관(전남 보성군 보성읍 송재로 281-9),음악,2016-12-08,2016-12-08,1500-1900,유료,한국문화예술회관연합회,"한국무화예술위원회, 보성군문화예술회관(보성군)",,"기획재정부 복권위원회, 문화체육관광부",497,"6,000",8,청소년 30프로 할인,,http://art.boseong.go.kr,,Y,전라남도 보성군 보성읍 송재로 281-9,,,,2016-12-01
"제6회 파안토파이 색소폰앙상블 정기연주회",봉화 청소년 센타,음악,2016-12-08,2016-12-08,0630-0900,무료,"LEAL.LAV, the Teatro Leal La Laguna","LEAL.LAV, the Teatro Leal La Laguna",,,300,,,,,,,Y,경상북도 봉화군 봉화읍 내성로1길 17-20,,,,2016-12-01
"스랍트리오 15주년 기념음악회",대구콘서트하우스 그랜드홀,음악,2016-12-08,2016-12-08,1930-2100,무료,스랍트리오,스랍트리오,,"대구문화재단,한국문화예술위원회",,,,,,,,,대구광역시 중구 태평로 141,,,,2016-12-01
"퍼포디언 옹알스 쇼",파주 운정행복센터 대공연장,연극,2016-12-08,2016-12-08,1600-2030,무료,한국문화예술회관연합회,"한국문화예술위원회, 파주시시설관리공단",,복권기금위원회,536,,,전석 무료 입장,,www.pajucf.or.kr,www.pajucf.or.kr,Y,경기도 파주시 와석순환로 415,,,,2016-12-01
"개인예술가 창작 지원 사업",한울림 소극장,연극,2016-12-08,2016-12-18,1500-2130,유료,최은아,최은아,,대구문화재단,80,"전석 2만원, 청소년 1만원",,"가족권(4인) 60,000원, 장애인  30프로, 3인패키지 50,000원",,,인터파크,N,대구광역시 남구 계명중앙1길 35-1,,,,2016-12-01
"무악시리즈 - 구음 (K-TRap2)",창동플랫폼61,전통예술,2016-12-08,2016-12-08,2000-2130,유료,서울문화재단,서울문화재단,,,,,,,,,,,서울특별시 도봉구 마들로11길 74,,,,2016-12-01
A+Culture Market,서울시 종로구 대학로112(동숭동 이음센터) 5층 스튜디오,예술일반,2016-12-08,2016-12-10,1200-1800,무료,한국문화예술위원회,사단법인 한국장애인문화예술단체총연합회,,,,,,,,http://www.fdca.or.kr,,,서울특별시 종로구 대학로112,,,,2016-12-01
2016년 문예회관 레퍼토리 제작 개발지원 사업,"무학로 180 (지산동, 수성아트피아)",연극,2016-12-08,2016-12-11,0730-2200,유료,한국문화예술회관연합회,(재)수성문화재단 수성아트피아,,"기획재정부, 복권위원회",1159,"R석 50,000원 / S석 30,000원",8,,,www.ssartpia.kr,,Y,대구광역시 수성구 무학로 180,,,,2016-12-01
"옛날 옛적에",대학로예술극장 소극장,무용,2016-12-08,2016-12-09,2000-2100,유료,한국문화예술위원회,한국문화예술위원회,,,,,,,,http://,,,서울특별시 종로구 대학로10길 17,,,,2016-12-01
"하 객 - Wedding",서강대 메리홀,무용,2016-12-08,2016-12-09,1208-1209,유료,서울문화재단,아지드 현대무용단,,,,,,,,,,,서울특별시 마포구 백범로 35,,,,2016-12-01
"따뜻한 위로의 손길이 필요했던 햄릿",성미산 마을극장,연극,2016-12-08,2016-12-08,1400-1920,무료,한국문화예술위원회,사)한국발달장애인가족연구소,,,80,,,,,,,,서울특별시 마포구 월드컵로26길 39,,,,2016-12-01
"주현미로 만나는 K-Jazz 콘서트 <러브레터>",아양아트센터 대공연장,다원예술,2016-12-09,2016-12-09,1930-2100,유료,한국문화예술회관연합회,"한국문화예술위원회, 대구동구문화재단",,"복권위원회, 문화체육관광부",1100,5/3/2만원,7,,,www.ayangarts.or.kr,,Y,대구광역시 동구 효동로2길 24,,,,2016-12-01
"이범진 피아노독주회",대전 예술가의 집 누리홀,음악,2016-12-07,2016-12-07,1930-2100,유료,리베리아앙상블,리베리아앙상블,,,140,"10,000",8,,,,,Y,대전광역시 중구 중앙로 32,,,,2016-12-01
"전제덕하모니카콘서트",김제문화예술회관 대공연장,다원예술,2016-12-09,2016-12-09,1900-2120,유료,김제시,김제시,,,488,,,,,,,Y,전라북도 김제시 성산길 20,,,,2016-12-01
"피노키오의 꿈",극단 가인의 작은 무대 (대구광역시 중구 중앙대로 62길 28 지하1층),연극,2016-12-09,2016-12-18,1930-2045,유료,대구문화재단,극단 가인,,,30,,,,"월요일 공연 없음,  12월 11일  2회 공연 오후 5시, 오후 7:30",http://cafe.naver.com/letsplaygain,,N,대구광역시 중구 중앙대로 62길 28 지하1층,,,,2016-12-01
"이리오너라 놀다가거라",대가야 문화누리 우륵홀 (고령),전통예술,2016-12-09,2016-12-09,1900-2000,무료,경상북도,노래하는가야금놀다가,,,,,,,,http://www.facebook.com/noldaga,,,경상북도 고령군 대가야읍 왕릉로 30,,,,2016-12-01
"오페렐라 발렐리아",함안문화예술회관,음악,2016-12-09,2016-12-09,1930-2100,유료,"한국문화예술회관연합회, 코리안심포니오케스트라","한국문화예술회관연합회, 코리안심포니오케스트라",,,,,,,,,,,경상남도 함안군 가야읍 함안대로 619-1,,,,2016-12-01
"따비예술단과 함께하는 추억여행",충북예총 따비홀,다원예술,2016-12-09,2016-12-09,1600-1730,무료,충북예총,충북예총,,"한국문화예술위원회, 충북문화재단",,,,,,www.artcb.or.kr,,,충청북도 청주시 청원구 향군로94번길 7,,,,2016-12-01
"임대흥 클라리넷 독주회 현대음악과 Stamiz",아라뮤즈홀,음악,2016-12-09,2016-12-31,1930-2100,유료,제주문화예술재단,제주문화예술재단,,,,,,,,,,,제주특별자치도 제주시 제주대학로 102,,,,2016-12-01
"제26회 처용연극페스티벌","예울 소극장, 소극장 푸른가시",연극,2016-12-09,2016-12-24,1000-1000,유료,울산연극협회,울산연극협회,,"울산광역시,NH농협",88,"10,000",,,,,,Y,울산광역시 중구 문화의 거리 24번지,,,,2016-12-01
"현대무용단 '자유'JUSTICE & NEW ZONE",아르코예술극장,무용,2016-12-09,2016-12-09,1930-2030,유료,현대무용단 자유,현대무용단 자유,,,,,,,,,,,서울특별시 종로구 대학로8길 7,,,,2016-12-01
"가족 하모니 콘서트 '아카펠라그룹 보이쳐'",경남 창녕군 창녕읍 우포2로 1189-25 창녕문화예술회관 대공연장,음악,2016-12-09,2016-12-09,1900-2000,유료,한국문화예술회관연합회,"한국문화예술위원회, 창녕군",,"기획재정부 복권위원회, 문화체육관광부",496,"1층 5,000원, 2층 3,000원",8,"창녕문화누리회원 1인 2매 30프로 할인, 20인이상 단체 30프로할인",,http://art.cng.go.kr,http://ticket.cng.go.kr,Y,경상남도 창녕군 창녕읍 우포2로 1189-25,,,,2016-12-01
"무용, 세계속의 암각화를 만나다 ’공연",울산문화예술회관 소공연장,무용,2016-12-08,2016-12-08,1930-2030,유료,울산광역시,임연희무용단,,,472,,7-90,,,modernlim@hanmail.net,,Y,울산광역시 남구 번영로 200,,,,2016-12-01
SYNCH 04 ？ BODY GRADATION,아트스페이스 벤,다원예술,2016-12-09,2016-12-11,2000-2130,유료,서울문화재단,열혈예술청년단,,,,,,,,http://club.cyworld.com/yulhyularts,,,서울특별시  성북구 성북로 49 운석빌딩 3층,,,,2016-12-01
"날숨의 시간",국립극장 KB하늘극장,연극,2016-12-09,2016-12-25,2000-2140,유료,"극공작소 마방진, 국립중앙극장","극공작소 마방진, 국립중앙극장",,,,,,,,,,,서울특별시 중구 장충단로 59,,,,2016-12-01
"공주유희",인천(수봉)문화회관,전통예술,2016-12-09,2016-12-09,1930-2030,유료,한국문화예술회관연합회,"인천(수봉)문화회관,인천광역시,한국예술위원회",,"문화체육관광부,복권위원회",160,"전석 10,000원",4,"회원예매 3,000원, 회원현장 5,000원, 사랑티켓 4,000원",,http://artin.or.kr,http://www.enticket.com/,Y,인천광역시 남구 수봉안길 78,,,,2016-12-01
"세종특별자치시 6.25전쟁 66주년 기념 공연 [ 누가 이 사람을 모르시나요 ]",세종특별자치시 문화예술회관 대공연장,무용,2016-12-09,2016-12-09,1930-2030,무료,세종특별자치시,노현식무용단,,,,,,,,,,,세종특별자치시 조치원읍 문예회관길 22,,,,2016-12-01
"연극 택시드리벌",포항문화예술회관 대공연장,연극,2016-12-10,2016-12-10,1500-1900,유료,한국문화예술회관연합회,"한국문화예술위원회, 포항시시설관리공단",,"기획재정부 복권위원회, 문화체육관광부",972,,,,,http://phart.phsisul.org,,,경상북도 포항시 남구 희망대로 850,,,,2016-12-01
"대한민국을 즐겨라-힐링국악콘서트(오정혜, 홍경민)",의령군민문화회관 공연장,전통예술,2016-12-10,2016-12-10,1900-,유료,"한국문화예술회관연합회,","한국문화예술위원회, 의령군",,"기획재정부복권위원회, 문화체육관광부",354,"30,000",8,"문화/예술인패스 50-30프로, 장애인, 국가유공자50프로",,"www.uiryeong,go.kr",,Y,경상남도 의령군 의령읍 의병로24길 31-1,,,,2016-12-01
"풀류 5인5색",순천 낙안 읍성,전통예술,2016-12-10,2016-12-10,1400-1530,무료,한국판소리 보존회 순천 낙안읍성지부,한국판소리 보존회 순천 낙안읍성지부,,,500,무료,,,,,,Y,전라남도 순천시 낙안면 남내리 42,,,,2016-12-01
"제10회 창작극페스티벌",대구공연예술연습공간(B1),연극,2016-12-10,2016-12-19,2000-2130,무료,대구문화재단,(사)대구연극협회,,,50,,15,,,https://www.facebook.com/dgdrama,,Y,대구광역시 달서구 공원순환로 201,,,,2016-12-01
"합창으로 행복한 힐링음악회",청주아트홀,음악,2016-12-10,2016-12-10,1930-2100,무료,청주남성합창단,청주남성합창단,,"한국문화예술위원회, 충북문화재단",700,조건부무료(라면1개),,,,http://,,Y,충청북도 청주시 서원구 예체로 118-1,,,,2016-12-01
"뮤지컬 빨래",군산예술의전당 대공연장,연극,2016-12-10,2016-12-10,1500-2100,유료,한국문화예술회관연합회,"군산시, 한국문화예술위원회",,,844,R 2만  S1만,,,,http://arts.gunsan.go.kr,,Y,전라북도 군산시 백토로 203,,,,2016-12-01
"제8회 군민사랑 송년음악회",양양군문화복지회관 2층 공연장,음악,2016-12-10,2016-12-10,1500-1630,무료,강원문화재단,강원문화재단,,,379,,,,,http://artyangyang.com,,Y,강원도 양양군 양양읍 일출로 540,,,,2016-12-01
kka7878@hanmail.net,보령시 대천시민체육관,전통예술,2016-12-10,2016-12-10,1300-1430,무료,충남문화재단,(사)한국국악협회 보령시지부,,,400,0,,,,,,,충청남도 보령시 성주산로 101,,,,2016-12-01
2016 한국퉁소연구회 정기연주회 및 학술대회,서울돈화문국악당,전통예술,2016-12-10,2016-12-10,1700-2030,무료,서울문화재단,한국퉁소연구회,,,140,,,,,,,N,서울특별시 종로구 율곡로 102,,,,2016-12-01
"연극-나 한테 왜 이래-부재:할 수 없이 의사가 되어",제천문화회관,연극,2016-12-10,2016-12-10,1500-1620,무료,극단 언덕과 개울,극단 언덕과 개울,,"한국문화예술위원회.충북문화재단,극단 각인각색 /한울타리여성연합회",1000,무료공연,5,무료공연입니다.,,,,Y,충청북도 제천시 의림대로6길 32,,,,2016-12-01
"경남성악연구회 창작음악의 밤",문화의 전당 누리홀,음악,2016-12-10,2016-12-10,1700-1800,유료,경남문화예술진흥원,경남성악연구회,,,300,"20,000원",8,김해문화의 전당 회원제 정책,,http://gnsov.changwonart.com,,Y,경상남도 김해시 김해대로 2060(내동),,,,2016-12-01
"김혜미 귀국 바이올린 리사이틀",제주특별자치도 제주시 제주대학로 102번지 제주대학교 아라뮤즈홀,음악,2016-12-10,2016-12-10,1930-2100,무료,제주문화예술재단,김혜미,,모스크바 차이코프스키 국립음악원 동문회,448,,,,,http://,,Y,제주특별자치도 대학로 102번지 제주대학교 아라뮤즈홀,,,,2016-12-01
"중고제 판소리 “이동백제 적벽가 완창”",논산문화원 공연장,전통예술,2016-12-10,2016-12-10,1500-1700,무료,충남문화재단,중고제판소리연구원,,논산문화원,150,,,,,,,Y,충청남도 논산시 관촉로 113-16,,,,2016-12-01
2016마하트마단독공연,인스카이투(중앙로 170번길37),예술일반,2016-12-10,2016-12-10,1800-2100,유료,대전문화재단,마하트마,,도프엔터테인먼트.락웨일컴퍼니,300,"예매15,000 현매 20,000",,"중3 , 고3 수험생 할인 (학생증지참), 대전 이외  타지방에서 오는분 할인(영수증지참)",,http//cafe.daum.net/mahatma,http//cafe.daum.net/mahatma,N,대전광역시 중구 중앙로170번길 37,,,,2016-12-01
"정준수 첼로 리사이틀",금정문화회관,음악,2016-12-10,2016-12-10,1210-1210,유료,부산문화재단,아트뱅크코레아,,"부산광역시, 한국예술위원회, 부산문화재단",330,"일반/2만원, 학생/1만원",,"학생 50프로, 예술인 패스 30프로, 65세 이상 50프로, 장애우 동반 1인 50프로",,,,Y,부산광역시 금정구 체육공원로 7,,,,2016-12-01
"연극 늘근도둑 이야기",경기도 수원시 팔달구 인계동 1117 경기도문화의전당,연극,2016-12-10,2016-12-10,1500-1940,유료,한국문화예술회관연합회,경기도문화의전당,,,502,,14,"50프로 : 장애인, 국가유공자(동반1인 포함), 65세 이상(본인), 30프로 : 조기예매 할인(~9.30), 아트플러스 회원(골드6매/일반4매), 20프로 : 단체할인(10인이상), 학생할인(중,고,대학생)",,http://www.ggac.or.kr,,Y,경기도 수원시 팔달구 인계동 1117,,,,2016-12-01
"창작탈춤 '하얀 강(江)'",현장아트홀,전통예술,2016-12-10,2016-12-10,1600-2000,유료,경남문화예술진흥원,풍류춤연구소,,,200,"10,000원",,,,http://cafe.daum.net/ssan101,,Y,경상남도 진주시 남강로1번길 96-10,,,,2016-12-01
"박주영의 正歌  'The voice'",춘천문화예술회관,전통예술,2016-12-10,2016-12-10,1900-2030,유료,박주영,박주영의 soul歌,,,998,10000원,10,청소년 50프로 할인,만 8세 이상 관람,www.cccf.or.kr,,Y,강원도 춘천시 효자상길 5번길 13(효자동) 춘천문화예술회관,,,,2016-12-01
"리을무용단 제31회 정기공연",대학로예술극장 소극장,무용,2016-12-10,2016-12-11,1700-1800,유료,서울문화재단,(사)리을춤연구원,,,,,,,,http://realdance.co.kr,,,서울특별시 종로구 대학로10길 17,,,,2016-12-01
"뮤지컬 나를 봐, 창작사업",세종시 문화예술회관,연극,2016-12-10,2016-12-10,1600-1800,무료,세종특별자치시,틴즈뮤지컬단(송창진),,,800,,5,,,,,Y,세종특별자치시 조치원읍 문예회관길 22,,,,2016-12-01
"시민과함께하는 열린음악회",한솔동 주민센터 3층 강당,음악,2016-12-10,2016-12-10,1600-1700,무료,세종특별자치시,세종시맨콰이어남성합창단,,,300,,8,,,http://,,Y,세종특별자치시  노을3로 85,,,,2016-12-01
"국악무도",진해문화센터 공연장(구.진해구민회관),전통예술,2016-12-11,2016-12-11,1700-1900,무료,예술in공간,예술in공간,,"경상남도, 경남문화예술진흥원",380,,,,,http://,,Y,경상남도 창원시 진해구 진해대로 325,,,,2016-12-01
"영등, 바람",제주돌문화공원,무용,2016-12-11,2016-12-15,1900-2000,무료,제주문화예술재단,제주문화예술재단,,,,,,,,http://,,,제주특별자치도 조천읍 교래리 119,,,,2016-12-01
"이진성 피아노 리사이틀",부산동래문화회관,음악,2016-12-11,2016-12-11,1800-1930,유료,무대공감,이진성,,,524,"학생 5천원, 일반 1만원",,,,,,Y,부산광역시 동래구 문화로 80,,,,2016-12-01
2016 노현식무용단-DOCU 신작 <부치지 못한 편지>,진천화랑관 대극장,무용,2016-12-11,2016-12-12,1100-1200,무료,충북문화재단,노현식무용단-다큐,,,700,,,,,,,,충청북도 진천군 진천읍 문화로 69-4,,,,2016-12-01
"多色 퓨전 타악 콘서트 - 내 안의 울림,  너를 향한 메아리-",전주 전통문화관 한벽극장,다원예술,2016-12-11,2016-12-11,1600-1700,무료,소리지존퓨전타악퍼포먼스,소리지존퓨전타악퍼포먼스,,전라북도문화관광재단,235,,,,,http://sorijijon.com,,Y,전라북도 전주시 완산구 전주천동로 20,,,,2016-12-01
"제10회 청음 정기 발표회",315아트센터 소극장,전통예술,2016-12-11,2016-12-11,1600-1800,무료,경남문화예술진흥원,풍물패 청음,,,,,,,,http://cafe.daum.net/mscheongeum,,,경상남도 창원시 마산회원구 삼호로 135,,,,2016-12-01
"목관육중주 'Lim' 실내악 연주회",봉선2로 96-14 304호,음악,2016-12-11,2016-12-11,1211-1211,유료,광주문화재단,앙상블 림,,광주문화재단,300,1만원,,,,http://www.usquareculture.co.kr,,Y,광주광역시 봉선2로 96-14 304호,,,,2016-12-01
"여성창극 가야산연가",부산시민회관 대극장,전통예술,2016-12-11,2016-12-11,1900-2030,유료,(사)한국국악협회 부산광역시지회,(사)한국국악협회 부산광역시지회,,,,,,,,,,,부산광역시 동구 자성로133번길 16,,,,2016-12-01
"채리티체임버앙상블 정기연주회",예술의전당 리사이틀홀,음악,2016-12-11,2016-12-11,2000-2200,유료,서울문화재단,채리티체임버앙상블,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2016-12-01
"뉴던의 소리향 '새로운 시도, 그리고 10년'",대전시립연정국악원 작은마당,다원예술,2016-12-11,2016-12-11,1700-1830,유료,대전문화재단,현대음악앙상블 뉴던 (New Dawn),,,,,,,,http,,,대전광역시 서구 둔산대로 181,,,,2016-12-01
"제3회 천둥소리로 울리는 드럼대향연",강릉시 작은공연장 단,예술일반,2016-12-12,2016-12-12,1600-1700,무료,강원문화재단,강릉드럼치는사람들,,,,,,,,,,N,강원도 강릉시 경강로2046번길 5,,,,2016-12-01
"움직임을 기반으로 한 융합 다원공연",동숭아트센터 꼭두소극장,다원예술,2016-12-12,2017-02-28,-,유료,한국문화예술위원회,한국문화예술위원회,,,,,,,,http://,,,서울특별시 종로구 동숭길 122,,,,2016-12-01
Hans Zimmer's 게임영상 콘서트,김천시문화예술회관 대공연장,다원예술,2016-12-14,2016-12-14,1930-2150,유료,한국문화예술회관연합회,"한국문하예술회관연합회, 김천시",,"기획재정부 복권위원회, 문화체육관광부",904,"초중고학생 무료, 일반 10,000원",8,,,www.gcart.go.kr,,Y,경상북도 김천시 운동장길 3,,,,2016-12-01
"시민화합한마당",문희아트홀,예술일반,2016-12-14,2016-12-14,1400-1700,무료,연예예술인협회,(사) 한국 연예 연예술인총연합회 문경지회,,,300,없음,,없음,,whdgml5242@hanmail.net,,Y,경상북도 문경시 문경읍 새재로 910,,,,2016-12-01
